source,target,edge_id,length,connectivity,shared_points
0,37,0,5.859054374354524,,1540
0,72,1,6.130421089699051,,437
0,76,2,12.949126240270873,,369
0,79,3,15.394180434957738,,3
1,69,4,14.332075788296699,,380
1,70,5,5.153876792155033,,1331
1,71,6,4.572762857368017,,598
1,93,7,11.977791906543956,,491
1,2,8,4.712430889639947,,1726
1,22,9,20.617959097865583,,1
1,23,10,19.488174473138468,,2
1,24,11,13.260341027049733,,19
1,27,12,15.8690652417666,,3
1,28,13,10.759603669266475,,13
2,70,14,8.855203914224434,,598
2,71,15,3.8443824865133363,,945
2,24,16,13.131495498717747,,13
2,27,17,15.848659411311797,,1
2,28,18,9.397828616123899,,15
3,73,19,0.7475147323518844,,41
3,76,20,18.925763189446148,,38
3,8,21,10.960178302101486,,38
4,9,22,8.731014630667078,,29
4,30,23,1.1923013423372186,,30
4,33,24,9.025730061812752,,29
5,72,25,25.080110198907082,,4
6,76,26,22.347477589595023,,3
6,11,27,5.621395437164736,,18
6,32,28,8.777400469302505,,4
6,36,29,8.303090759825965,,6
7,75,30,5.900026889472349,,4
7,84,31,6.5747082238327,,2
8,73,32,10.625564193795649,,38
8,76,33,17.223096403604693,,631
8,87,34,5.167994841555323,,297
8,13,35,4.762067436705045,,297
9,15,36,5.792437216460587,,35
9,30,37,8.208304108364382,,30
9,33,38,0.9740590636793903,,165
9,39,39,5.8106219626374145,,35
10,77,40,3.0975814809851516,,5
10,88,41,7.1758607470013445,,5
11,76,42,22.00529995204978,,20
11,86,43,21.20654192763497,,5
11,17,44,8.714460946173062,,16
11,32,45,9.704469203954602,,4
11,36,46,6.492603095008932,,22
11,43,47,11.302904953209545,,6
12,19,48,4.218604288163039,,3
12,35,49,5.27905827143164,,5
13,76,50,17.641220938895124,,297
13,87,51,1.836448979474483,,327
13,94,52,17.502136048798768,,4
13,21,53,16.851317961282252,,5
14,20,54,6.985529690296243,,38
14,44,55,33.58735850855518,,2
15,33,56,5.5936936399889765,,35
15,39,57,1.7007046641049932,,37
16,20,58,22.85244710700182,,5
16,40,59,6.375819925308035,,5
16,44,60,16.752210960611315,,5
17,76,61,23.281814928241204,,5
17,86,62,18.959938739682038,,8
17,23,63,13.945737597726183,,5
17,36,64,9.400756541260463,,6
17,43,65,6.325013352653453,,9
17,45,66,16.410047032053864,,2
18,81,67,5.565747599264024,,3
18,92,68,3.3644964048612143,,5
19,35,69,7.698464393716908,,3
20,25,70,32.51339930410368,,1
20,38,71,32.0682501340597,,4
20,40,72,24.993539640511745,,5
20,44,73,27.11534614775321,,24
21,87,74,16.950617217298287,,4
21,94,75,2.534128045705851,,6
22,93,76,24.333344813931898,,10
23,93,77,20.2544448792814,,2
23,24,78,11.04489780818479,,15
23,43,79,14.434962247804163,,2
23,45,80,4.197483688748642,,21
23,47,81,7.077783124931803,,13
24,93,82,19.595220621819998,,1
24,28,83,10.878299513051266,,15
24,45,84,11.128496463172349,,13
24,47,85,8.792098910973204,,24
25,46,86,10.045347455089582,,2
26,46,87,17.253249572693306,,3
29,49,88,15.375351134210213,,56
30,33,89,8.433104530066949,,34
31,34,90,4.458067310882035,,16
31,50,91,3.0488932445086103,,10
31,51,92,9.490998577621538,,10
32,36,93,6.777665291802299,,6
33,39,94,5.356988440243949,,48
34,41,95,9.354040909952124,,4
34,50,96,4.160460888995738,,10
34,51,97,5.57465229969054,,32
34,57,98,36.37894770128277,,4
36,43,99,8.712752092812103,,6
37,61,100,8.211840167751,,1939
37,72,101,10.406108112804272,,370
37,76,102,12.215123814773346,,1505
37,78,103,16.401179451492556,,4
37,79,104,18.38846699464939,,3
37,86,105,11.706559532630513,,614
37,87,106,27.988128490626295,,12
37,90,107,16.728139783624723,,3
38,44,108,10.490450735144458,,66
38,57,109,12.966257290708056,,53
38,58,110,11.54571032468176,,47
40,44,111,13.235219985758402,,10
40,57,112,24.34036873790653,,4
40,58,113,22.093586704319602,,4
41,51,114,7.311771574267039,,4
41,57,115,33.87041906088231,,4
43,45,116,15.932356136082348,,2
44,46,117,11.261171571600345,,26
44,57,118,15.330378286872444,,51
44,58,119,12.16168803050741,,182
44,59,120,11.309228233612748,,16
45,47,121,4.620695663766271,,16
46,48,122,7.798111779933352,,7
46,58,123,13.71149241048853,,16
46,59,124,10.69652733702484,,36
46,60,125,7.337694107839396,,3
48,59,126,13.149074800252611,,3
48,60,127,6.884310507781743,,3
49,53,128,9.545185893807878,,115
49,62,129,11.670628908834642,,246
49,64,130,13.017444261494193,,115
50,51,131,8.476316338640553,,10
51,57,132,32.79027978011905,,19
51,65,133,13.309119252294924,,5
51,66,134,33.16123157944167,,5
53,62,135,5.886398288793511,,113
53,64,136,6.501656995489018,,115
56,57,137,17.088128214413356,,3
56,66,138,17.258768269615093,,3
57,58,139,5.626060881301177,,1277
57,63,140,19.794409855893,,2
57,65,141,24.794569254607108,,5
57,66,142,1.6143634698127087,,1278
57,67,143,3.340798980453468,,1194
58,59,144,9.270227768104014,,90
58,66,145,6.610455909909435,,1194
58,67,146,3.0328154217376095,,2379
58,68,147,11.242743802437099,,24
