source,target,edge_id,length,connectivity,shared_points
0,1,0,0.09952911567910445,,
1,2,1,0.007869824782467144,,
1,2,2,0.007869824782467144,,
2,3,3,0.0038553373947823183,,
3,5,4,0.0358900889122859,,
3,4,5,0.03351999339716233,,
4,12,6,0.016093929881639185,,
4,5,7,0.0023700955151235714,,
5,6,8,0.0011779840594948743,,
6,7,9,0.0037412939418148272,,
6,7,10,0.0037412939418148272,,
7,8,11,0.002744553693558832,,
8,17,12,0.021850641294296563,,
8,9,13,0.00019670285453954328,,
9,11,14,0.0036475109053669963,,
9,10,15,0.0028713077971971035,,
10,24,16,0.03986667223611884,,
10,11,17,0.0007762031081698928,,
11,12,18,0.0022157889117405405,,
12,13,19,0.00407239272617374,,
13,15,20,0.00961462985231426,,
13,14,21,0.0005005882642967752,,
14,15,22,0.009114041588017485,,
14,16,23,0.010369679913265206,,
15,16,24,0.001255638325247721,,
16,17,25,0.0008479777189137616,,
17,18,26,0.00031140792883177504,,
18,36,27,0.10631369879474623,,
18,19,28,0.0023337626675062895,,
19,28,29,0.027906203672116797,,
19,20,30,0.009655000855517626,,
20,21,31,0.0018183283515253723,,
20,35,32,0.06596601210087466,,
21,22,33,0.0019358775906446468,,
21,39,34,0.24640122627059932,,
22,23,35,0.0031232498150652876,,
22,29,36,0.024411639937948093,,
23,25,37,0.0019378904216516557,,
23,24,38,0.0019064143844679249,,
24,25,39,3.147603718373082e-05,,
25,26,40,0.00422538400015926,,
26,31,41,0.028194178431223627,,
26,27,42,0.0023287466241403987,,
27,28,43,0.00288172601341255,,
27,32,44,0.027644135417838278,,
28,29,45,0.009914643063518941,,
29,30,46,0.012742926850333847,,
30,34,47,0.01212541749495502,,
30,31,48,0.0003261358798178904,,
31,32,49,0.0017787036107550502,,
32,33,50,0.008205105371019372,,
33,34,51,0.001815472633362708,,
33,37,52,0.08191485470652549,,
34,35,53,0.01293182187546768,,
35,36,54,0.02835892317084765,,
36,37,55,0.03880863702684745,,
37,38,56,0.03383323510476888,,
38,40,57,0.12846865397793383,,
38,39,58,0.08125274721878606,,
39,40,59,0.047215906759147774,,
40,41,60,0.02494718477836222,,
41,42,61,0.010162875580942643,,
41,42,62,0.010162875580942643,,
42,43,63,0.18683142895110172,,
43,44,64,0.017031115133427477,,
43,44,65,0.017031115133427477,,
44,45,66,0.2753174017937139,,
